# PORT			SCRIPT:DESCRIPTION		[SCRIPT:DESCRIPTION]
139			smb-vuln*:SMB CVEs		smb-enum*:SMB Enum	
445			smb-vuln*:SMB CVEs		smb-enum*:SMB Enum
